dtu_id,ts,dtu_data,dtu_vib
6,1770086350933,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9517365, ""AY"": 0.1899645, ""AZ"": 0.0435435, ""DX"": 1, ""DY"": 1, ""DZ"": 2, ""GX"": -0.0610352, ""GY"": 0.6713872, ""GZ"": 0.7324224, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.5, ""HZY"": 0.9, ""HZZ"": 1.1, ""YAW"": 1.1041131, ""ROLL"": 90.361495, ""TEMP"": 20.64, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.97, ""HEIGHT"": -8.944}"
6,1770086350431,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.949344, ""AY"": 0.184701, ""AZ"": 0.032538, ""DX"": 1, ""DY"": 1, ""DZ"": 2, ""GX"": -0.1831056, ""GY"": 0.7324224, ""GZ"": 0.7324224, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.9, ""HZY"": 0.6, ""HZZ"": 1, ""YAW"": 1.1041131, ""ROLL"": 90.361495, ""TEMP"": 20.52, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086349929,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.952215, ""AY"": 0.1899645, ""AZ"": 0.0349305, ""DX"": 1, ""DY"": 1, ""DZ"": 1, ""GX"": -0.4882816, ""GY"": 0.8544928, ""GZ"": 0.5493168, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.9, ""HZY"": 0.6, ""HZZ"": 1, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.64, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086349425,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9574785, ""AY"": 0.198099, ""AZ"": 0.044979, ""DX"": 2, ""DY"": 2, ""DZ"": 1, ""GX"": -0.1831056, ""GY"": 0.9765632, ""GZ"": 0.7324224, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.7, ""HZY"": 0.3, ""HZZ"": 0.8, ""YAW"": 1.1041131, ""ROLL"": 90.361495, ""TEMP"": 20.64, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.936}"
6,1770086348923,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9555645, ""AY"": 0.1918785, ""AZ"": 0.0435435, ""DX"": 1, ""DY"": 1, ""DZ"": 1, ""GX"": -0.1220704, ""GY"": 0.8544928, ""GZ"": 0.915528, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.7, ""HZY"": 0.3, ""HZZ"": 0.8, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.52, ""PITCH"": -3.1914911, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086348421,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9565215, ""AY"": 0.194271, ""AZ"": 0.03828, ""DX"": 1, ""DY"": 0, ""DZ"": 1, ""GX"": -0.305176, ""GY"": 0.610352, ""GZ"": 0.7324224, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1.3, ""HZY"": 1.5, ""HZZ"": 1.3, ""YAW"": 1.1041131, ""ROLL"": 90.361495, ""TEMP"": 20.7, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086347918,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9498225, ""AY"": 0.1918785, ""AZ"": 0.0387585, ""DX"": 1, ""DY"": 1, ""DZ"": 1, ""GX"": -0.3662112, ""GY"": 0.7324224, ""GZ"": 0.7324224, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 1.3, ""HZY"": 1.5, ""HZZ"": 1.3, ""YAW"": 1.1041131, ""ROLL"": 90.3560019, ""TEMP"": 20.7, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086347416,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9517365, ""AY"": 0.2071905, ""AZ"": 0.0378015, ""DX"": 2, ""DY"": 3, ""DZ"": 2, ""GX"": -0.0610352, ""GY"": 0.6713872, ""GZ"": 0.610352, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0.1, ""HZY"": 0.3, ""HZZ"": 0.8, ""YAW"": 1.1041131, ""ROLL"": 90.361495, ""TEMP"": 20.45, ""PITCH"": -3.1805049, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086346914,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9593925, ""AY"": 0.1937925, ""AZ"": 0.042108, ""DX"": 0, ""DY"": 1, ""DZ"": 1, ""GX"": -0.305176, ""GY"": 0.6713872, ""GZ"": 0.6713872, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0, ""HZY"": 0, ""HZZ"": 0, ""YAW"": 1.1041131, ""ROLL"": 90.3450157, ""TEMP"": 20.52, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086346412,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9603495, ""AY"": 0.125367, ""AZ"": 0.0540705, ""DX"": 1, ""DY"": 1, ""DZ"": 1, ""GX"": -0.305176, ""GY"": 0.610352, ""GZ"": 0.7934576, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0, ""HZY"": 0, ""HZZ"": 0, ""YAW"": 1.1041131, ""ROLL"": 90.3450157, ""TEMP"": 20.7, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086345909,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.953172, ""AY"": 0.1928355, ""AZ"": 0.040194, ""DX"": 0, ""DY"": 0, ""DZ"": 0, ""GX"": -0.2441408, ""GY"": 0.610352, ""GZ"": 0.6713872, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0, ""HZY"": 0, ""HZZ"": 0, ""YAW"": 1.1041131, ""ROLL"": 90.3450157, ""TEMP"": 20.77, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
6,1770086345407,"{""FLOOR"": null, ""INDUCTOR"": null, ""INDUCTOR_DOOR_MOTOR"": null, ""INDUCTOR_MAIN_SWITCH"": null}","{""AX"": 0.9565215, ""AY"": 0.1909215, ""AZ"": 0.040194, ""DX"": 0, ""DY"": 0, ""DZ"": 0, ""GX"": -0.1220704, ""GY"": 0.7324224, ""GZ"": 0.610352, ""VX"": 0, ""VY"": 0, ""VZ"": 0, ""HZX"": 0, ""HZY"": 0, ""HZZ"": 0, ""YAW"": 1.1041131, ""ROLL"": 90.3450157, ""TEMP"": 20.7, ""PITCH"": -3.185998, ""SPEED"": 0, ""TEMPB"": 26.96, ""HEIGHT"": -8.944}"
