sample_idx,ts_ms,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz
54,1772696445356,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
55,1772696445368,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
56,1772696445378,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
57,1772696445389,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
58,1772696445399,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
59,1772696445409,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
60,1772696445420,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
61,1772696445430,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
62,1772696445441,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
63,1772696445451,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
64,1772696445462,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
65,1772696445472,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
66,1772696445483,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
67,1772696445497,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
68,1772696445511,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
69,1772696445521,-0.1162109375,0.06201171875,-0.97216796875,-0.1220703125,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.51,0,0,0,0,0,0
70,1772696445531,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
71,1772696445542,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
72,1772696445552,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
73,1772696445562,-0.10107421875,0.05078125,-0.96337890625,-0.18310546875,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,26.38,0,0,0,0,0,0
