elevator_id,ts_ms,ts,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz,A_mag,G_mag,seg_energy
elevator-unknown,1773735368372,2026-03-17 16:16:08.372,1773735368367,5,1,-0.4228515625,0.8984375,-0.0234375,-0.54931640625,0.67138671875,0.79345703125,0,1,1,0.0,0.0,0.0,28.21,,,,,,,0.9932485598888082,1.175620134537245,0.01930177289307152
elevator-unknown,1773735368393,2026-03-17 16:16:08.393,1773735368392,1,1,-0.431640625,0.83251953125,0.03759765625,-0.244140625,0.732421875,0.91552734375,0,1,0,0.0,0.0,0.0,28.02,,,,,,,0.938517971494741,1.197596244528112,0.019335135721702198
elevator-unknown,1773735368425,2026-03-17 16:16:08.425,1773735368418,7,1,-0.45751953125,0.94775390625,0.00244140625,-0.54931640625,1.40380859375,0.79345703125,0,1,0,0.0,0.0,0.0,28.15,,,,,,,1.0524103518836325,1.7035260909366288,0.01945154663966413
elevator-unknown,1773735368447,2026-03-17 16:16:08.447,1773735368443,4,1,-0.4326171875,0.85888671875,0.05322265625,-0.1220703125,0.8544921875,0.48828125,0,1,0,0.0,0.0,0.0,28.15,,,,,,,0.9631597363386083,0.9917039068159132,0.019592862118650252
elevator-unknown,1773735368468,2026-03-17 16:16:08.468,1773735368467,1,1,-0.44775390625,0.8955078125,-0.009765625,-0.3662109375,0.8544921875,0.6103515625,0,1,1,0.0,0.0,0.0,28.15,,,,,,,1.0012557966085938,1.112113474016638,0.017856103554639687
elevator-unknown,1773735368500,2026-03-17 16:16:08.500,1773735368492,8,1,-0.451171875,0.8759765625,0.06494140625,-0.3662109375,0.732421875,0.732421875,0,1,0,0.0,0.0,0.0,28.09,,,,,,,0.9874757643031344,1.0986328125,0.016757441888818298
elevator-unknown,1773735368522,2026-03-17 16:16:08.522,1773735368518,4,1,-0.470703125,0.91650390625,0.0166015625,0.3662109375,0.48828125,0.54931640625,0,1,0,0.0,0.0,0.0,28.15,,,,,,,1.0304447845147822,0.8211440458419013,0.016807185502933787
elevator-unknown,1773735368543,2026-03-17 16:16:08.543,1773735368543,0,1,-0.451171875,0.89990234375,0.001953125,0.244140625,1.0986328125,0.67138671875,0,0,0,0.0,0.0,0.0,27.83,,,,,,,1.0066698087133756,1.3104803804677667,0.016745365056194512
elevator-unknown,1773735368575,2026-03-17 16:16:08.575,1773735368569,6,1,-0.4423828125,0.8515625,0.0556640625,-0.1220703125,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,28.02,,,,,,,0.9612282413951767,1.1287379155826984,0.016737654535869104
elevator-unknown,1773735368596,2026-03-17 16:16:08.596,1773735368593,3,1,-0.4619140625,0.90234375,-0.00439453125,-0.30517578125,0.91552734375,0.79345703125,0,0,0,0.0,0.0,0.0,28.09,,,,,,,1.013710094753043,1.2493584894078809,0.016720838797551946
